ConceptID,ConceptLabel,Dependencies,TaxonomyID
1,Python Interpreter Overview,,ENV
2,Python 2 vs Python 3,1,ENV
3,Trinket.io Web Environment,1,ENV
4,Repl.it Online IDE,1,ENV
5,Thonny Beginner IDE,1,ENV
6,Spyder Scientific IDE,1,ENV
7,VS Code Editor,1,ENV
8,Jupyter Notebooks,1,ENV
9,JupyterLab Environment,8,ENV
10,Conda Package Manager,1,ENV
11,pip Package Installer,1|10,ENV
12,Virtual Environments,11,ENV
13,Installing Python Locally,1|11,ENV
14,Running Scripts from Terminal,13|19,ENV
15,Python REPL Shell,1,ENV
16,Raspberry Pi Python Platform,1|13,ENV
17,Skulpt Browser Python,1|3,ENV
18,Google Colab Environment,1|8,ENV
19,Command Line Basics,,ENV
20,File System Navigation,19,ENV
21,print() Function,1,SYN
22,Single-Line Comments,21,SYN
23,Multi-Line Strings,21,SYN
24,Indentation as Syntax,21,SYN
25,Case Sensitivity,21,SYN
26,Python Keywords,21,SYN
27,Blank Lines and Readability,21|22,SYN
28,Code Block Structure,24,SYN
29,Statement vs Expression,21,SYN
30,Whitespace Rules,24,SYN
31,Variable Definition and Assignment,21|29,DAT
32,Variable Naming Rules,31,DAT
33,Snake_case Convention,32,DAT
34,Meaningful Variable Names,32|33,DAT
35,Multiple Assignment,31,DAT
36,Augmented Assignment Operators,31|47,DAT
37,Constants by Convention,31|33,DAT
38,Variable Reassignment,31,DAT
39,Swap Two Variables,35|38,DAT
40,Naming Conflicts to Avoid,32|26,DAT
41,Integer Type,31,DAT
42,Float Type,31,DAT
43,Division Returns Float,42,DAT
44,Integer Division Operator,41|42,DAT
45,Modulo Operator,41,DAT
46,Exponentiation Operator,41,DAT
47,Arithmetic Operators,41|42,DAT
48,Order of Operations,47,DAT
49,Negative Numbers,41,DAT
50,Scientific Notation Floats,42,DAT
51,Boolean Type,31,DAT
52,Comparison Operators,41|51,DAT
53,Logical Operators,51|52,DAT
54,Truthiness and Falsiness,51,DAT
55,Short-Circuit Evaluation,53,DAT
56,Boolean in Conditions,51|92,DAT
57,Chained Comparisons,52|53,DAT
58,String Type,31,DAT
59,Single vs Double Quotes,58,DAT
60,String Concatenation,58,DAT
61,String Repetition,58|41,DAT
62,String Indexing,58|41,DAT
63,String Slicing,62,DAT
64,Escape Characters,58,DAT
65,String Length with len(),58,DAT
66,String lower() upper() strip(),58,DAT
67,String split() join() replace(),58,DAT
68,String startswith() endswith() find(),58,DAT
69,String isdigit() isalpha() isalnum(),58,DAT
70,String format() Method,58|31,DAT
71,f-Strings,58|31|70,DAT
72,String Immutability,58,DAT
73,Raw Strings,58|64,DAT
74,String Comparison,58|52,DAT
75,Multiline String Formatting,23|71,DAT
76,None Value and NoneType,31,DAT
77,Functions Returning None,121|76,DAT
78,Checking for None with is,76|52,DAT
79,int() Conversion,41|58,DAT
80,float() Conversion,42|58,DAT
81,str() Conversion,58|41,DAT
82,bool() Conversion,51|31,DAT
83,type() Function,31|41,DAT
84,isinstance() Function,83|285,DAT
85,Implicit vs Explicit Conversion,79|80|81,DAT
86,input() Function,21|58,CTL
87,Prompting the User,86|58,CTL
88,Converting Input to Numbers,86|79|80,CTL
89,Input Validation Basics,86|92,CTL
90,Reading Multiple Inputs,86|35,CTL
91,Strip Whitespace from Input,86|66,CTL
92,if Statement,51|24|28,CTL
93,if...else Block,92,CTL
94,elif Chains,93,CTL
95,Nested if Statements,93,CTL
96,Conditional Ternary Expression,92|51,CTL
97,match/case Statement,92|94,CTL
98,Truthiness in Conditions,54|92,CTL
99,Compound Conditions,53|92,CTL
100,for Loop over Sequence,24|28,CTL
101,for Loop with range(),100,CTL
102,Range with Start Stop Step,101|41,CTL
103,while Loop,24|28|51,CTL
104,break Statement,100|103,CTL
105,continue Statement,100|103,CTL
106,else Clause on Loops,100|103,CTL
107,Nested Loops,100|108,CTL
108,Loop Counter Variable,100|41,CTL
109,Infinite Loops to Avoid,103|104,CTL
110,enumerate() Function,100,CTL
111,zip() Function,100,CTL
112,Loop Accumulator Pattern,100|31,CTL
113,Loop with List Building,100|138,CTL
114,Countdown Loop,101|102,CTL
115,Defining a Function with def,24|28|21,FUN
116,Calling a Function,115,FUN
117,Positional Parameters,115,FUN
118,Default Parameter Values,115|117,FUN
119,Keyword Arguments,115|117,FUN
120,return Statement,115,FUN
121,Functions Returning None,115|76,FUN
122,Local Scope,115|31,FUN
123,Global Scope,31|115,FUN
124,global Keyword,123|122,FUN
125,nonlocal Keyword,122|135,FUN
126,Docstrings,115|23,FUN
127,Pure Functions vs Side Effects,115|120,FUN
128,Recursion Concept,115|116,FUN
129,Recursion Base Case,128,FUN
130,Recursion Depth and Stack,128|129,FUN
131,Lambda Functions,115|116,FUN
132,Variable Number of Arguments *args,115|137,FUN
133,Keyword Variable Arguments **kwargs,115|163,FUN
134,Function as Argument,131|115,FUN
135,Nested Functions,115|122,FUN
